연번,업종명,업소명,소재지(도로명),소재지(지번),데이터기준일
207,단란주점,팡팡노래광장주점,"인천광역시 남동구 남동대로916번길 38, 지하1층 (간석동)",인천광역시 남동구 간석동 182-12 (간석일방로 62) 지하1층 ,2024-10-10
208,단란주점,아싸가요주점,"인천광역시 남동구 백범로 447, 지하1층 (간석동)",인천광역시 남동구 간석동 574-28 지하1층전부 ,2024-10-10
209,단란주점,심염단란주점,인천광역시 남동구 구월남로 288 (구월동),인천광역시 남동구 구월동 1274-15 ,2024-10-10
210,단란주점,퀸가요주점,"인천광역시 남동구 남동대로 697-1, 지하1층 (구월동)",인천광역시 남동구 구월동 1167-2 지하1층 ,2024-10-10
211,단란주점,힐링,"인천광역시 남동구 문화로 113, 2층 (구월동)",인천광역시 남동구 구월동 1347-2 2층전체 ,2024-10-10
212,단란주점,7080가요마당,"인천광역시 남동구 남촌동로46번길 4, 지하1층 (남촌동)",인천광역시 남동구 남촌동 349-13 지하1층 ,2024-10-10
213,단란주점,조이라이브7080,"인천광역시 남동구 구월로 353, 지하1층 (만수동)",인천광역시 남동구 만수동 885-16 지하1층전부 ,2024-10-10
214,단란주점,쏜다,인천광역시 남동구 남동대로 696 (구월동),인천광역시 남동구 구월동 1181-26 ,2024-10-10
215,단란주점,추억의7080,"인천광역시 남동구 구월말로 59, 지하1층 일부호 (만수동)",인천광역시 남동구 만수동 912-16 지하1층일부 ,2024-10-10
216,단란주점,우정단란주점,"인천광역시 남동구 백범로157번길 31, 지하층 102호 (만수동)",인천광역시 남동구 만수동 885-17 지하102호 ,2024-10-10
217,단란주점,우산속,"인천광역시 남동구 남동대로 694 (구월동, 지하1층)",인천광역시 남동구 구월동 1181-30 지하1층 ,2024-10-10
218,단란주점,주(酒)고래노래노래,"인천광역시 남동구 석촌로46번길 32 (간석동,지하1층)",인천광역시 남동구 간석동 167-7 지하1층 ,2024-10-10
219,단란주점,첼로,"인천광역시 남동구 백범로 334 (간석동, 지하1층)",인천광역시 남동구 간석동 118-9 지하1층 ,2024-10-10
220,단란주점,마이웨이,"인천광역시 남동구 남동대로922번길 17 (간석동, 3층)",인천광역시 남동구 간석동 174-18 3층 ,2024-10-10
221,단란주점,친구네노래포차,"인천광역시 남동구 백범로 325 (간석동,지하1층일부)",인천광역시 남동구 간석동 122-5 지하1층일부 ,2024-10-10
222,단란주점,7080푸른시절라이브,"인천광역시 남동구 남동대로921번길 1, 1동 2층 (간석동)",인천광역시 남동구 간석동 277-1 1동 2층 ,2024-10-10
223,단란주점,써니라이브 7080,"인천광역시 남동구 석촌로 58, 지하1층 (간석동)",인천광역시 남동구 간석동 173-12 지하1층 ,2024-10-10
224,단란주점,이리오너라7080,"인천광역시 남동구 용천로153번길 41, 1층 일부호 (간석동)",인천광역시 남동구 간석동 125-1 1층일부 ,2024-10-10
225,단란주점,노래하는7080,"인천광역시 남동구 백범로 343-1 (간석동, 2층)",인천광역시 남동구 간석동 170-4 2층 ,2024-10-10
226,단란주점,참조은주점,"인천광역시 남동구 용천로153번길 41, 지하1층 (간석동, 궁전빌딩)",인천광역시 남동구 간석동 125-1 (용천로153번길 41) 궁전빌딩 지하1층 ,2024-10-10
227,단란주점,쎄시봉,"인천광역시 남동구 남동대로922번길 16 (간석동, 지하1층)",인천광역시 남동구 간석동 176-7 지하1층 ,2024-10-10
228,단란주점,달빛 7080,"인천광역시 남동구 남동대로921번길 1 (간석동, 2동 2층전부)",인천광역시 남동구 간석동 277-1 2동2층전부 ,2024-10-10
229,단란주점,달빛라이브,"인천광역시 남동구 청능대로 563, 4층 402호 (논현동, 동아베스트프라자)",인천광역시 남동구 논현동 631-7 동아베스트프라자 402호,2024-10-10
230,단란주점,향기단란주점,"인천광역시 남동구 백범로 315-1, 지하1층 (간석동)",인천광역시 남동구 간석동 39-5 지하1층 ,2024-10-10
231,단란주점,파라다이스7080,"인천광역시 남동구 백범로 336, 지하1층 (간석동)",인천광역시 남동구 간석동 119-2 지하1층 ,2024-10-10
232,단란주점,몽마르지,"인천광역시 남동구 백범로 325-2, 2층 (간석동)",인천광역시 남동구 간석동 122-8 2층 ,2024-10-10
233,단란주점,킹톤,"인천광역시 남동구 논고개로123번길 35, A402호 (논현동, 논현동칼리오페)",인천광역시 남동구 논현동 632-1 ,2024-10-10
234,단란주점,썬라이브,"인천광역시 남동구 청능대로 583, 4층 401호 (논현동, 중앙프라자)",인천광역시 남동구 논현동 631-9 중앙프라자 4층 401호,2024-10-10
235,단란주점,가자단란주점,"인천광역시 남동구 논현로26번길 34, 204호 (논현동, 주건축물제1동)",인천광역시 남동구 논현동 646-2 주건축물제1동 204호,2024-10-10
236,단란주점,썸씽7080라이브,"인천광역시 남동구 논고개로123번길 45-1, 403호 (논현동, 로얄프라자)",인천광역시 남동구 논현동 631-3 로얄프라자 403호 ,2024-10-10
237,단란주점,별밤,"인천광역시 남동구 논현로 42 (논현동, 제일프라자 605호일부)",인천광역시 남동구 논현동 636-1 제일프라자 605호일부 ,2024-10-10
238,단란주점,창노래타운주점,"인천광역시 남동구 논고개로123번길 17, 311-1호 (논현동, 아이플렉스)",인천광역시 남동구 논현동 632-2 ,2024-10-10
239,단란주점,별단란주점,"인천광역시 남동구 구월남로 117, 3층 302호 (구월동, 가주프라자)",인천광역시 남동구 구월동 1134-4 ,2024-10-10
240,단란주점,원이야 놀자 라이브,"인천광역시 남동구 남동대로922번길 28, 1층 (간석동)",인천광역시 남동구 간석동 175-2 1층일부 ,2024-10-10
241,단란주점,낭만라이브7080,"인천광역시 남동구 논고개로 117, 5층 502-2호 (논현동, 메트로타워)",인천광역시 남동구 논현동 631-10 메트로타워 5층 502-2호 ,2024-10-10
242,단란주점,힐링라이브(7080),"인천광역시 남동구 석촌로 47, 2층 (간석동)",인천광역시 남동구 간석동 213-15 2층 ,2024-10-10
243,단란주점,관수야놀자,"인천광역시 남동구 백범로 396 (간석동, 지하1층전부)",인천광역시 남동구 간석동 216-10 지하1층전부 ,2024-10-10
244,단란주점,파티라이브,"인천광역시 남동구 앵고개로934번길 51, 3층 (논현동, 흥인빌딩 302호일부)",인천광역시 남동구 논현동 676-7 흥인빌딩 3층 302호일부 ,2024-10-10
245,단란주점,썸단란주점,"인천광역시 남동구 선수촌공원로23번길 6-17, 4층 401호 (구월동, 메이채프라자)",인천광역시 남동구 구월동 1538-2 메이채프라자 4층 401호일부 ,2024-10-10
246,단란주점,써니,"인천광역시 남동구 호구포로 221, 202호 (논현동, 남동메디칼센타)",인천광역시 남동구 논현동 647-1 남동메디칼센타 202호,2024-10-10
247,단란주점,소래7080,"인천광역시 남동구 앵고개로948번길 54, 9층 902호 (논현동, 굿모닝타워)",인천광역시 남동구 논현동 676-6 굿모닝타워 902호,2024-10-10
248,단란주점,해바라기,"인천광역시 남동구 용천로168번길 9, 지하1층 일부호 (간석동)",인천광역시 남동구 간석동 43-4 지하1층 일부 ,2024-10-10
249,단란주점,망고단란주점,"인천광역시 남동구 장도로 64, 207호 (논현동, 동아씨랜드)",인천광역시 남동구 논현동 678-4 동아씨랜드 207호 ,2024-10-10
250,단란주점,썸노래타운,"인천광역시 남동구 선수촌공원로 25, 3층 304호 (구월동, 구월신세계프라자)",인천광역시 남동구 구월동 1534-2 구월신세계프라자 304호 ,2024-10-10
251,단란주점,오선녀7080,"인천광역시 남동구 백범로 335, 4층 일부호 (간석동)",인천광역시 남동구 간석동 123-4 하람빌딩 ,2024-10-10
252,단란주점,제우스단란주점,"인천광역시 남동구 인주대로591번길 55, 건영프라자 2층 201호 (구월동)",인천광역시 남동구 구월동 1131-16 건영프라자 201호 ,2024-10-10
253,단란주점,아이앤디(IND)-88클럽,"인천광역시 남동구 경인로 607, 관광나이트런던 지하1층 2호 (간석동)",인천광역시 남동구 간석동 250-3 관광나이트런던 ,2024-10-10
254,단란주점,소래왕라이브,"인천광역시 남동구 소래역로 20, 2층 201호 (논현동)",인천광역시 남동구 논현동 679-3 201호 ,2024-10-10
255,단란주점,펄라이브,"인천광역시 남동구 논고개로 120, 논현프라자 301-1호 (논현동)",인천광역시 남동구 논현동 616-1 논현프라자 301-1호,2024-10-10
256,단란주점,놀자라이브7080,"인천광역시 남동구 선수촌공원로23번길 10-10, 솔보프라자 3층 301호 (구월동)",인천광역시 남동구 구월동 1540-1 솔보프라자(상업7-1-1) ,2024-10-10
257,단란주점,에이스단란주점,"인천광역시 남동구 백범로 320, 지하1층 (간석동)",인천광역시 남동구 간석동 42-2 지하1층 ,2024-10-10
258,단란주점,명품 단란주점,"인천광역시 남동구 선수촌공원로 37, 중앙프라자 3층 302호 (구월동)",인천광역시 남동구 구월동 1533-3 중앙프라자 3층 302호,2024-10-10
259,단란주점,덤라이브,"인천광역시 남동구 선수촌공원로23번길 10-6, 은성프라자 2층 201호 (구월동)",인천광역시 남동구 구월동 1540-2 은성프라자 201호,2024-10-10
260,단란주점,콘서트7080,"인천광역시 남동구 선수촌공원로23번길 10-16, 금산빌딩 3층 301호 (구월동)",인천광역시 남동구 구월동 1537-2 금산빌딩 3층 301호 ,2024-10-10
261,단란주점,7080콘서트,"인천광역시 남동구 남동대로921번길 15, 1층 101호 (간석동)",인천광역시 남동구 간석동 314-1 1층 101호 ,2024-10-10
262,단란주점,오늘은 라이브,"인천광역시 남동구 선수촌공원로23번길 6-21, B&S빌딩 2층 201호 (구월동)",인천광역시 남동구 구월동 1538-1 B&S빌딩 2층 201호 ,2024-10-10
263,단란주점,에코노래타운,"인천광역시 남동구 소래역로30번길 18, 제일타워 2층 203호 (논현동)",인천광역시 남동구 논현동 678-2 제일타워 ,2024-10-10
264,단란주점,폭스뮤직타운,"인천광역시 남동구 선수촌공원로23번길 10-21, 누리자타운 2층 207-1호 (구월동)",인천광역시 남동구 구월동 1535 누리자타운 2층 207-1호 ,2024-10-10
265,단란주점,카라라이브,"인천광역시 남동구 백범로 329, 2층 일부호 (간석동)",인천광역시 남동구 간석동 122-12 ,2024-10-10
